;Gmt time;Open;High;Low;Close;Volume;trade_count;vwap;MACD;MACD_signal;MACD_hist;MACD_diff;MACD_slope;Signal_slope;EMA_5;MACD_Hist_volatility_5;EMA_10;MACD_Hist_volatility_10;EMA_20;MACD_Hist_volatility_20;EMA_50;MACD_Hist_volatility_50;EMA_100;MACD_Hist_volatility_100;Close_slope_pct;EMA_5_slope_pct;EMA_10_slope_pct;EMA_20_slope_pct;EMA_50_slope_pct;EMA_100_slope_pct;EMA_5_x_EMA_10_UP;EMA_5_x_EMA_10_DOWN;EMA_5_x_EMA_20_UP;EMA_5_x_EMA_20_DOWN;EMA_5_x_EMA_50_UP;EMA_5_x_EMA_50_DOWN;EMA_5_x_EMA_100_UP;EMA_5_x_EMA_100_DOWN;EMA_10_x_EMA_20_UP;EMA_10_x_EMA_20_DOWN;EMA_10_x_EMA_50_UP;EMA_10_x_EMA_50_DOWN;EMA_10_x_EMA_100_UP;EMA_10_x_EMA_100_DOWN;EMA_20_x_EMA_50_UP;EMA_20_x_EMA_50_DOWN;EMA_20_x_EMA_100_UP;EMA_20_x_EMA_100_DOWN;EMA_50_x_EMA_100_UP;EMA_50_x_EMA_100_DOWN;RSI;RSI_norm;BB_Width;BB_Percent_b;BB_Breakout_up;BB_Breakout_down;Body_today;Body_prev;Engulfing_ratio;Engulfing_direction;Engulfing_strength;Engulfing_inclusion;Engulfing_index;OBV;OBV_diff;OBV_pct;OBV_slope;OBV_momentum;VWAP;Close_VWAP_Diff;Close_VWAP_Ratio;Avg_Trade_Size;Trade_Count_Norm;Donchian_High;Donchian_Low;Vol_MA;ADX;Profit_5;Target_5
0;2024-09-09 15:00:00+00:00;33.43;34.23;33.43;34.175;291098;2700;33.929922;;;;;;;34.175;;34.175;;34.175;;34.175;;34.175;;;;;;;;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;;;0;0;0.7449999999999974;;;1.0;;;;291098.0;;;;;34.175;0.0;1.0;107.81407407407407;;;;;;0.010095098756401053;1
1;2024-09-09 16:00:00+00:00;34.19;34.51;34.12;34.345;247962;2152;34.376478;;;;;;;34.23166666666667;;34.20590909090909;;34.19119047619048;;34.181666666666665;;34.178366336633665;;;;;;;;True;False;True;False;True;False;True;False;True;False;True;False;True;False;True;False;True;False;True;False;;;;;0;0;0.15500000000000114;0.7449999999999974;0.20805369099590335;1.0;0.9149999999999991;-0.020134228160894486;-0.0038329354430683936;539060.0;247962.0;0.8518162268376972;;;34.25319823396282;0.09180176603717882;1.0026800932692514;115.22397769516729;;34.51;33.43;269530.0;;-0.00829815111369913;0
2;2024-09-09 17:00:00+00:00;34.34;34.53;34.26;34.3;206270;1889;34.405252;;;;;;;34.254444444444445;;34.22301652892562;;34.20155328798186;;34.18630718954248;;34.18077492402706;;;;;;;;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;;;0;0;0.04000000000000625;0.15500000000000114;0.25806451446413836;-1.0;-0.10999999999999943;0.25806451446413836;-0.007325702298817225;332790.0;-206270.0;-0.3826475716988832;;;34.266150617847124;0.03384938215287292;1.0009878373129908;109.19534145050291;0.8406764574988874;34.53;34.12;227116.0;;-0.002332361516034936;0
3;2024-09-09 18:00:00+00:00;34.31;34.465;34.165;34.415;191213;1868;34.292625;;;;;;;34.30796296296297;;34.257922614575506;;34.2218815462693;;34.19527553505063;;34.185413044343356;;;;;;;;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;;;0;0;0.10499999999999687;0.04000000000000625;2.624999934374513;1.0;0.07499999999999574;0.7499999812499116;0.14765624261713442;524003.0;191213.0;0.5745755581598004;;;34.29654103976005;0.1184589602399484;1.003453962313652;102.36241970021413;0.9483838212895582;34.53;34.165;198741.5;;-0.014092692140055192;-1
4;2024-09-09 19:00:00+00:00;34.41;34.685;34.39;34.59;488356;3671;34.575573;;;;;;;34.40197530864198;;34.31830032101632;;34.256940446624604;;34.21075492583296;;34.193424667227646;;;;;;;;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;;;0;0;0.18000000000000682;0.10499999999999687;1.7142856979592997;1.0;0.28000000000000114;0.04761904716555866;0.022857142421782727;1012359.0;488356.0;0.9319717635204379;;;34.39711830452544;0.19288169547456135;1.0056074957723766;133.03078180332335;1.4826332794830372;34.685;34.165;339784.5;;-0.006360219716681294;0
5;2024-09-10 13:00:00+00:00;34.9;35.185;34.03;34.52;254202;2006;34.45316;;;;;;;34.44131687242799;;34.354972989922445;;34.28199373742226;;34.22288218364343;;34.19989150550037;;0.010095098756401053;0.007792739500453336;0.005266217700729989;0.003130760422012135;0.0014010880363842185;0.0007283542209325727;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;;;0;0;0.37999999999999545;0.18000000000000682;2.1111110993826108;-1.0;-0.11000000000000654;0.3888888867283819;-0.0903086409718771;758157.0;-254202.0;-0.25109867151870036;93411.8;;34.41572157660558;0.10427842339442606;1.0030299647549832;126.7208374875374;0.7976143141153081;35.185;34.03;371279.0;;-0.0002896871378912258;0
6;2024-09-10 14:00:00+00:00;34.54;34.78;33.71;34.06;254648;2211;34.122451;;;;;;;34.31421124828533;;34.30134153720927;;34.26085147671538;;34.21649464702996;;34.197121376678574;;-0.00829815111369913;0.0024113515249621583;0.0027899403593264756;0.0020373961700284227;0.0010189081972781589;0.0005487400965916266;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;;;0;0;0.4799999999999969;0.37999999999999545;1.2631578914127493;-1.0;0.8399999999999963;0.05263157880885442;0.05584487505232961;503509.0;-254648.0;-0.33587766122320306;-7110.2;;34.368877964513494;-0.30887796451349203;0.9910128586440204;115.17322478516509;0.8408975659229209;35.185;33.71;254425.0;;0.019671168526130198;1
7;2024-09-10 15:00:00+00:00;34.025;34.565;33.965;34.22;289217;2685;34.434805;;;;;;;34.28280749885689;;34.28655216680758;;34.256960859885346;;34.21663211185232;;34.19757441872454;;-0.002332361516034936;0.000828010930331844;0.0018565177569388523;0.001620030863421538;0.0008870487865713077;0.0004914895795902816;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;;;0;0;0.19500000000000028;0.4799999999999969;0.40624999915364907;1.0;-0.3200000000000003;0.33333333263888393;-0.043333333152777515;792726.0;289217.0;0.5744028408628248;91987.2;;34.34950833031185;-0.12950833031185027;0.9962296889647889;107.71582867783985;1.1670530281077949;34.78;33.71;271932.5;;-0.008182349503214528;0
8;2024-09-10 16:00:00+00:00;34.205;34.395;33.72;33.93;376591;2910;33.982398;;;;;;;34.16520499923793;;34.22172450011529;;34.22582173037246;;34.20539163687772;;34.19227591538346;;-0.014092692140055192;-0.004161073739036991;-0.0010566348364863083;0.00011513639592932323;0.00029583331816482024;0.0002007543694500231;False;False;False;True;False;True;False;True;False;True;False;False;False;False;False;False;False;False;False;False;;;;;0;0;0.2749999999999986;0.19500000000000028;1.4102564030243168;-1.0;0.09499999999999886;0.9230769183431925;0.12366863778485548;416135.0;-376591.0;-0.47505821683658667;-21573.6;;34.288735259507675;-0.35873525950767515;0.9895378101060697;129.4127147766323;1.11837048424289;34.565;33.72;332904.0;;0.012083701738874261;1
9;2024-09-10 17:00:00+00:00;33.925;34.48;33.92;34.37;214187;2153;34.308226;;;;;;;34.23346999949195;;34.24868368191251;;34.23955299414651;;34.21184686680408;;34.195795204187746;;-0.006360219716681294;-0.004898128890514563;-0.0020285573135211624;-0.0005075599937241403;3.191806124972551e-05;6.932727514633492e-05;False;False;False;False;True;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;;;;;0;0;0.4450000000000003;0.2749999999999986;1.61818181229753;1.0;0.16499999999999915;0.9999999963636362;0.2669999980581819;630322.0;214187.0;0.5147055643000469;-76407.4;;34.29492127037854;0.07507872962145967;1.0021892083970552;99.48304691128658;0.8336344863190501;34.48;33.72;295389.0;;-0.013965667733488417;-1
