Gmt time,Open,High,Low,Close,Volume,trade_count,vwap
2024-09-09 15:00:00+00:00,33.43,34.23,33.43,34.175,291098,2700,33.929922
2024-09-09 16:00:00+00:00,34.19,34.51,34.12,34.345,247962,2152,34.376478
2024-09-09 17:00:00+00:00,34.34,34.53,34.26,34.3,206270,1889,34.405252
2024-09-09 18:00:00+00:00,34.31,34.465,34.165,34.415,191213,1868,34.292625
2024-09-09 19:00:00+00:00,34.41,34.685,34.39,34.59,488356,3671,34.575573
2024-09-10 13:00:00+00:00,34.9,35.185,34.03,34.52,254202,2006,34.45316
2024-09-10 14:00:00+00:00,34.54,34.78,33.71,34.06,254648,2211,34.122451
2024-09-10 15:00:00+00:00,34.025,34.565,33.965,34.22,289217,2685,34.434805
2024-09-10 16:00:00+00:00,34.205,34.395,33.72,33.93,376591,2910,33.982398
2024-09-10 17:00:00+00:00,33.925,34.48,33.92,34.37,214187,2153,34.308226
2024-09-10 18:00:00+00:00,34.38,34.6,34.365,34.51,175695,1658,34.519936
2024-09-10 19:00:00+00:00,34.5,34.83,34.44,34.73,375045,2770,34.712391
2024-09-11 12:00:00+00:00,33.94,33.94,33.94,33.94,100,1,33.94
2024-09-11 13:00:00+00:00,34.01,34.4,33.71,34.34,244563,1763,34.040401
2024-09-11 14:00:00+00:00,34.375,34.455,33.62,33.89,225993,1736,33.972722
2024-09-11 15:00:00+00:00,33.885,34.235,33.73,34.235,244124,2121,34.031095
2024-09-11 16:00:00+00:00,34.24,34.565,34.235,34.44,213056,1813,34.430639
2024-09-11 17:00:00+00:00,34.445,34.64,34.415,34.52,174286,1543,34.51347
2024-09-11 18:00:00+00:00,34.515,34.87,34.455,34.735,205979,1756,34.727839
2024-09-11 19:00:00+00:00,34.72,34.855,34.52,34.845,291596,1910,34.737513
2024-09-12 13:00:00+00:00,34.83,35.245,34.55,35.0,207258,1467,34.968751
2024-09-12 14:00:00+00:00,35.005,35.205,34.705,34.8,157486,1420,34.974674
2024-09-12 15:00:00+00:00,34.75,35.135,34.715,35.135,134358,1085,34.894409
2024-09-12 16:00:00+00:00,35.135,35.395,35.105,35.22,122346,1166,35.244132
2024-09-12 17:00:00+00:00,35.24,35.24,34.89,35.035,65656,638,35.030145
2024-09-12 18:00:00+00:00,35.05,35.125,34.8,34.975,47051,522,35.023213
2024-09-12 19:00:00+00:00,34.975,34.975,34.77,34.93,141651,1251,34.892643
2024-09-13 13:00:00+00:00,34.9,35.69,34.9,35.49,120074,1050,35.409321
2024-09-13 14:00:00+00:00,35.48,35.65,35.06,35.63,172096,1714,35.404175
2024-09-13 15:00:00+00:00,35.625,36.0,35.535,35.73,176549,1779,35.789539
2024-09-13 16:00:00+00:00,35.74,35.8,35.44,35.52,138267,1552,35.562355
2024-09-13 17:00:00+00:00,35.52,35.52,35.235,35.325,85347,882,35.386498
2024-09-13 18:00:00+00:00,35.335,35.48,35.18,35.39,76633,841,35.391191
2024-09-13 19:00:00+00:00,35.375,35.6,35.34,35.59,178059,1559,35.482574
2024-09-16 13:00:00+00:00,35.73,36.1,35.59,36.025,225215,1314,35.960129
2024-09-16 14:00:00+00:00,36.02,36.365,35.78,35.98,225274,2088,36.068158
2024-09-16 15:00:00+00:00,35.95,36.48,35.78,36.475,147279,1221,36.133313
2024-09-16 16:00:00+00:00,36.48,36.55,36.35,36.48,129401,1416,36.463916
2024-09-16 17:00:00+00:00,36.48,36.87,36.47,36.86,141642,1265,36.68985
2024-09-16 18:00:00+00:00,36.855,36.91,36.47,36.59,195358,1548,36.717055
2024-09-16 19:00:00+00:00,36.58,36.67,36.27,36.31,293523,2289,36.430534
2024-09-17 12:00:00+00:00,37.06,37.13,37.06,37.13,200,2,37.095
2024-09-17 13:00:00+00:00,37.06,37.11,35.93,36.17,506929,2571,36.425138
2024-09-17 14:00:00+00:00,36.14,36.445,35.88,36.345,209749,1749,36.204821
2024-09-17 15:00:00+00:00,36.395,36.665,36.345,36.535,239904,1468,36.538193
2024-09-17 16:00:00+00:00,36.54,36.54,35.89,36.03,137514,1071,36.169235
