Gmt time,Open,High,Low,Close,Volume
01.10.2020 00:00:00.000,8.95,10.311,8.275,8.994,7.412597
02.10.2020 00:00:00.000,8.765,8.765,8.162,8.359,0.0
05.10.2020 00:00:00.000,7.852,9.091,7.647,8.094,420.502665
06.10.2020 00:00:00.000,8.252,10.145,7.57,9.293,489.213579
07.10.2020 00:00:00.000,8.978,10.766,7.326,10.32,315.356407
08.10.2020 00:00:00.000,9.241,10.71,8.726,10.071,341.089363
09.10.2020 00:00:00.000,9.071,10.535,8.614,9.054,70.583734
12.10.2020 00:00:00.000,9.028,10.331,8.489,8.996,296.199518
13.10.2020 00:00:00.000,9.138,9.898,8.08,8.814,112.294743
14.10.2020 00:00:00.000,8.73,9.933,7.978,8.449,116.972104
15.10.2020 00:00:00.000,8.283,9.91,7.78,8.66,110.126398
16.10.2020 00:00:00.000,8.863,10.151,7.855,8.654,146.096411
19.10.2020 00:00:00.000,9.63,10.157,8.197,8.878,157.820892
20.10.2020 00:00:00.000,8.726,9.937,7.948,8.398,199.282918
21.10.2020 00:00:00.000,9.315,10.03,7.867,7.962,147.755341
22.10.2020 00:00:00.000,8.45,10.422,7.9,8.656,113.940914
23.10.2020 00:00:00.000,8.785,10.095,8.161,9.522,76.663111
26.10.2020 00:00:00.000,9.492,10.273,8.128,9.859,221.228393
27.10.2020 00:00:00.000,9.093,11.349,8.595,9.836,466.721975
28.10.2020 00:00:00.000,10.192,11.125,8.769,10.501,159.078499
29.10.2020 00:00:00.000,9.751,11.41,9.244,9.533,210.957102
30.10.2020 00:00:00.000,9.529,10.927,8.788,9.206,324.909072
02.11.2020 00:00:00.000,10.03,10.856,8.93,9.356,93.652067
03.11.2020 00:00:00.000,9.554,15.471,9.116,10.545,267.37032
04.11.2020 00:00:00.000,10.442,11.189,9.19,10.804,99.101224
05.11.2020 00:00:00.000,10.679,12.264,9.44,11.883,113.619967
06.11.2020 00:00:00.000,11.02,14.71,10.179,13.174,161.645037
09.11.2020 00:00:00.000,14.267,15.891,12.568,14.259,267.284352
10.11.2020 00:00:00.000,13.768,14.982,12.569,13.022,65.355934
11.11.2020 00:00:00.000,13.141,16.551,10.964,15.58,326.484453
12.11.2020 00:00:00.000,14.671,17.045,8.511,14.369,271.59522
13.11.2020 00:00:00.000,13.707,15.932,11.139,15.034,86.146534
16.11.2020 00:00:00.000,14.752,17.662,13.687,15.033,385.440159
17.11.2020 00:00:00.000,15.121,16.801,14.188,16.801,1.476394
18.11.2020 00:00:00.000,16.809,18.432,14.852,17.097,4.171312
19.11.2020 00:00:00.000,17.509,18.393,16.56,16.662,1.587327
20.11.2020 00:00:00.000,17.493,18.841,17.406,18.017,1.621409
23.11.2020 00:00:00.000,17.843,23.051,17.318,20.732,262.52639
24.11.2020 00:00:00.000,19.9,25.829,19.504,23.014,84.090817
25.11.2020 00:00:00.000,22.808,30.612,21.588,22.523,5.006395
26.11.2020 00:00:00.000,28.049,28.927,27.423,27.923,1.262829
27.11.2020 00:00:00.000,29.794,31.838,25.907,26.902,30.691588
30.11.2020 00:00:00.000,26.435,29.386,24.964,27.332,13.780904
01.12.2020 00:00:00.000,26.171,28.349,23.132,23.732,143.561674
02.12.2020 00:00:00.000,24.847,24.979,16.3,22.579,5.613282
03.12.2020 00:00:00.000,21.528,27.819,20.857,22.516,5.047834
04.12.2020 00:00:00.000,22.952,24.688,22.441,24.561,2.019091
07.12.2020 00:00:00.000,23.381,34.555,21.079,23.547,1.630342
08.12.2020 00:00:00.000,28.033,30.467,26.639,29.388,8.3547
09.12.2020 00:00:00.000,27.485,29.109,27.154,27.598,2.254099
10.12.2020 00:00:00.000,25.94,28.031,20.385,25.911,275.523707
11.12.2020 00:00:00.000,26.211,27.29,20.063,26.427,78.80265
14.12.2020 00:00:00.000,27.353,32.16,24.265,26.39,74.484286
15.12.2020 00:00:00.000,26.132,28.044,24.577,25.384,79.028772
16.12.2020 00:00:00.000,25.393,27.176,24.457,24.77,114.216811
17.12.2020 00:00:00.000,25.084,27.739,24.536,26.1,327.48085
18.12.2020 00:00:00.000,26.382,28.168,22.539,25.259,220.047825
21.12.2020 00:00:00.000,25.15,27.93,18.343,27.053,228.025622
22.12.2020 00:00:00.000,27.228,29.367,23.696,26.774,76.196431
23.12.2020 00:00:00.000,28.278,29.217,26.817,26.817,75.44
24.12.2020 00:00:00.000,28.778,29.168,26.817,27.657,53.33
28.12.2020 00:00:00.000,28.018,28.058,25.397,25.627,118.42
29.12.2020 00:00:00.000,25.698,26.147,24.308,24.588,72.37
30.12.2020 00:00:00.000,24.898,25.868,24.617,25.027,80.79
