Gmt time,Open,High,Low,Close,Volume,trade_count,vwap
2024-09-09 15:00:00+00:00,217.195,219.89,217.09,219.89,136135,1909,218.732473
2024-09-09 16:00:00+00:00,219.87,220.595,219.685,220.14,99448,1570,220.12766
2024-09-09 17:00:00+00:00,220.185,220.925,218.495,219.155,197286,2143,219.890111
2024-09-09 18:00:00+00:00,219.045,219.045,216.72,217.88,357030,3911,217.610346
2024-09-09 19:00:00+00:00,217.85,221.02,217.81,220.95,357158,4254,220.013462
2024-09-10 13:00:00+00:00,218.86,220.0,216.78,217.5,210050,2029,218.095376
2024-09-10 14:00:00+00:00,217.46,219.96,217.46,219.16,229561,2770,218.926375
2024-09-10 15:00:00+00:00,219.12,220.38,218.27,218.36,104136,1431,219.588834
2024-09-10 16:00:00+00:00,218.31,219.925,218.045,219.565,80807,1096,218.886591
2024-09-10 17:00:00+00:00,219.55,220.92,219.54,220.8,100662,1036,220.406252
2024-09-10 18:00:00+00:00,220.86,221.455,220.25,220.41,92435,1162,220.872801
2024-09-10 19:00:00+00:00,220.33,221.075,219.7,220.1,139436,1874,220.509059
2024-09-11 13:00:00+00:00,221.29,223.07,220.3,220.57,88836,1170,221.413851
2024-09-11 14:00:00+00:00,220.495,221.01,217.91,218.575,182736,2331,219.310343
2024-09-11 15:00:00+00:00,218.45,220.32,218.08,219.73,102961,1160,218.883025
2024-09-11 16:00:00+00:00,219.68,221.31,219.68,221.08,63470,907,220.647644
2024-09-11 17:00:00+00:00,221.18,221.82,220.86,221.09,79688,1014,221.338741
2024-09-11 18:00:00+00:00,221.03,221.76,220.89,221.41,66123,868,221.328586
2024-09-11 19:00:00+00:00,221.42,222.98,221.12,222.56,259559,2736,222.162074
2024-09-12 13:00:00+00:00,222.39,222.51,219.84,221.0,95055,1151,220.99151
2024-09-12 14:00:00+00:00,221.145,222.36,220.96,221.925,136608,1555,221.886136
2024-09-12 15:00:00+00:00,221.74,223.03,221.74,221.97,97083,1292,222.24119
2024-09-12 16:00:00+00:00,221.98,222.49,221.65,222.49,52244,721,221.930162
2024-09-12 17:00:00+00:00,222.54,223.23,222.46,223.08,70718,785,222.917662
2024-09-12 18:00:00+00:00,223.11,223.535,222.21,223.19,73208,977,223.029028
2024-09-12 19:00:00+00:00,223.13,223.445,222.51,222.85,151878,2007,222.89122
2024-09-13 13:00:00+00:00,223.79,223.83,222.3,222.5,138688,1314,222.733801
2024-09-13 14:00:00+00:00,222.53,223.49,222.0,223.09,111880,1412,222.793805
2024-09-13 15:00:00+00:00,223.165,223.805,223.155,223.78,63027,781,223.55968
2024-09-13 16:00:00+00:00,223.78,223.99,223.07,223.865,51987,619,223.48462
2024-09-13 17:00:00+00:00,223.95,224.0,223.38,223.685,49756,695,223.669676
2024-09-13 18:00:00+00:00,223.72,223.99,222.43,222.485,58055,843,223.112311
2024-09-13 19:00:00+00:00,222.415,222.81,222.32,222.42,163362,2088,222.530339
2024-09-16 13:00:00+00:00,216.6,216.8,213.94,215.245,458719,4073,215.353768
2024-09-16 14:00:00+00:00,215.17,217.2,215.03,215.25,263677,3011,216.002152
2024-09-16 15:00:00+00:00,215.23,216.575,214.85,215.98,197170,2310,215.806579
2024-09-16 16:00:00+00:00,215.97,216.04,214.93,215.56,145494,1652,215.38552
2024-09-16 17:00:00+00:00,215.585,216.39,215.55,216.22,80646,1328,215.907551
2024-09-16 18:00:00+00:00,216.17,216.51,216.01,216.44,117424,1164,216.272973
2024-09-16 19:00:00+00:00,216.38,216.695,215.94,216.46,176727,2252,216.395627
2024-09-17 13:00:00+00:00,215.75,216.545,214.5,216.19,239881,2025,215.657948
2024-09-17 14:00:00+00:00,216.27,216.895,215.56,216.07,153052,1623,216.301348
2024-09-17 15:00:00+00:00,216.125,216.84,216.0,216.61,117165,1307,216.345093
2024-09-17 16:00:00+00:00,216.6,216.62,215.23,215.79,117772,1227,216.008608
2024-09-17 17:00:00+00:00,215.95,216.38,215.07,216.14,68792,1071,215.88592
2024-09-17 18:00:00+00:00,216.09,216.38,215.32,215.84,67832,889,216.003596
2024-09-17 19:00:00+00:00,215.84,216.85,215.75,216.85,184845,2278,216.487149
2024-09-18 13:00:00+00:00,217.29,219.54,217.29,219.205,149308,1513,218.832752
2024-09-18 14:00:00+00:00,219.17,221.595,219.05,220.905,204740,2112,220.56581
2024-09-18 15:00:00+00:00,220.935,221.34,219.54,219.55,141264,1561,220.441077
2024-09-18 16:00:00+00:00,219.61,221.35,219.55,221.335,80620,943,220.710451
2024-09-18 17:00:00+00:00,221.31,221.505,220.41,220.72,73671,906,220.999016
2024-09-18 18:00:00+00:00,221.68,222.63,219.85,220.22,228700,2584,221.124705
2024-09-18 19:00:00+00:00,220.04,221.8,218.96,220.83,325940,3902,220.604914
2024-09-19 13:00:00+00:00,225.095,227.41,224.65,227.3,276658,2371,226.618899
2024-09-19 14:00:00+00:00,227.3,229.795,227.245,227.94,543716,4317,228.741131
2024-09-19 15:00:00+00:00,227.96,228.83,227.66,228.29,236350,2574,228.291372
2024-09-19 16:00:00+00:00,228.305,229.32,228.305,229.185,266985,1980,229.02976
2024-09-19 17:00:00+00:00,229.17,229.455,228.715,229.37,314584,2252,229.167266
2024-09-19 18:00:00+00:00,229.38,229.42,228.4,229.295,404712,2378,228.941891
2024-09-19 19:00:00+00:00,229.31,229.59,228.32,228.905,574881,4843,229.136506
2024-09-20 13:00:00+00:00,229.98,231.1,229.225,230.015,285776,2114,230.205883
2024-09-20 14:00:00+00:00,230.0,230.57,229.39,230.28,284338,2508,230.027208
2024-09-20 15:00:00+00:00,230.37,230.94,229.23,230.8,233239,2360,230.183941
2024-09-20 16:00:00+00:00,230.79,231.93,230.78,231.805,183840,1792,231.47176
2024-09-20 17:00:00+00:00,231.845,231.9,230.61,230.66,369037,3132,231.105047
2024-09-20 18:00:00+00:00,230.66,231.605,229.5,231.5,669084,4858,230.353163
2024-09-20 19:00:00+00:00,231.5,233.075,227.68,228.535,1592413,10389,231.254288
2024-09-23 13:00:00+00:00,227.18,227.79,225.85,226.9,259035,2260,227.00485
2024-09-23 14:00:00+00:00,226.985,229.44,226.3,228.72,208544,2587,227.567937
2024-09-23 15:00:00+00:00,228.7,228.88,228.13,228.34,81130,1230,228.540685
2024-09-23 16:00:00+00:00,228.2,228.21,226.72,226.78,109851,2111,227.199485
2024-09-23 17:00:00+00:00,226.67,227.14,226.53,227.09,122316,2199,226.881141
2024-09-23 18:00:00+00:00,227.1,227.18,226.5,226.69,61690,965,226.818271
2024-09-23 19:00:00+00:00,226.68,226.69,225.85,226.49,169675,2418,226.280427
2024-09-24 13:00:00+00:00,228.645,229.34,227.18,227.39,135122,1519,227.997667
2024-09-24 14:00:00+00:00,227.42,227.43,225.75,227.24,160935,1773,226.483992
2024-09-24 15:00:00+00:00,227.205,227.6,226.72,227.45,99964,1390,227.180795
2024-09-24 16:00:00+00:00,227.48,227.73,226.98,226.99,40462,759,227.529582
2024-09-24 17:00:00+00:00,226.92,227.485,226.82,227.31,68906,983,227.216573
2024-09-24 18:00:00+00:00,227.31,227.37,226.55,226.875,62460,1003,226.988825
2024-09-24 19:00:00+00:00,226.88,227.5,226.41,227.46,147460,1938,226.903479
2024-09-25 13:00:00+00:00,224.99,226.97,224.63,226.9,152233,1658,225.753989
2024-09-25 14:00:00+00:00,227.0,227.26,226.14,226.39,112664,1500,226.660142
2024-09-25 15:00:00+00:00,226.34,226.63,225.305,225.54,139859,1525,225.703223
2024-09-25 16:00:00+00:00,225.53,226.01,225.405,225.79,65602,964,225.683932
2024-09-25 17:00:00+00:00,225.755,225.88,224.85,224.955,132256,1451,225.267544
2024-09-25 18:00:00+00:00,224.965,225.085,224.02,224.945,135400,1505,224.592405
2024-09-25 19:00:00+00:00,224.955,226.36,224.95,226.36,179380,2247,225.69782
2024-09-26 13:00:00+00:00,227.57,227.57,225.515,226.51,133688,1481,226.412433
2024-09-26 14:00:00+00:00,226.51,228.45,226.115,227.19,183791,2232,227.300332
2024-09-26 15:00:00+00:00,227.15,227.93,226.69,227.69,102723,1414,227.329028
2024-09-26 16:00:00+00:00,227.69,227.69,227.035,227.28,56778,782,227.258503
2024-09-26 17:00:00+00:00,227.2,227.49,226.67,227.06,71005,1015,227.156218
2024-09-26 18:00:00+00:00,227.155,227.85,226.97,227.775,63452,842,227.503413
2024-09-26 19:00:00+00:00,227.76,227.79,227.03,227.665,265038,2783,227.511683
2024-09-27 13:00:00+00:00,228.57,229.47,228.0,228.8,88565,1133,228.720416
2024-09-27 14:00:00+00:00,228.86,229.495,228.52,228.65,135270,1806,228.987205
2024-09-27 15:00:00+00:00,228.615,228.68,227.3,227.54,113083,1345,227.968011
2024-09-27 16:00:00+00:00,227.565,228.34,227.48,228.3,70669,1159,227.928896
2024-09-27 17:00:00+00:00,228.34,228.6,227.855,228.36,69539,930,228.128261
2024-09-27 18:00:00+00:00,228.36,228.515,227.56,228.115,85460,1176,227.958023
2024-09-27 19:00:00+00:00,228.12,228.12,227.55,227.73,155928,2118,227.833021
2024-09-30 13:00:00+00:00,230.04,232.35,229.68,230.925,140828,1602,231.671094
2024-09-30 14:00:00+00:00,231.02,231.72,230.34,231.59,145839,2912,230.971287
2024-09-30 15:00:00+00:00,231.6,232.4,231.38,232.32,112315,1589,231.889282
2024-09-30 16:00:00+00:00,232.27,232.53,231.74,231.78,84106,1000,232.219747
2024-09-30 17:00:00+00:00,231.8,231.97,231.31,231.91,47319,700,231.643683
2024-09-30 18:00:00+00:00,231.82,231.9,230.61,231.74,70236,1021,231.420649
2024-09-30 19:00:00+00:00,231.735,233.0,231.05,232.85,328744,2924,232.134238
2024-10-01 13:00:00+00:00,229.14,229.58,225.645,226.09,315034,3025,226.900864
2024-10-01 14:00:00+00:00,226.1,226.24,224.56,225.28,263172,3131,225.274091
2024-10-01 15:00:00+00:00,225.28,225.92,224.52,225.22,214485,2134,225.19559
2024-10-01 16:00:00+00:00,225.19,225.82,224.3,224.78,190637,2515,225.063398
2024-10-01 17:00:00+00:00,224.745,225.15,223.75,225.13,150042,1983,224.415809
2024-10-01 18:00:00+00:00,225.17,225.71,225.09,225.62,118876,1558,225.423103
2024-10-01 19:00:00+00:00,225.61,226.33,225.54,226.205,239047,2479,226.054723
