Gmt time,Open,High,Low,Close,Volume,trade_count,vwap
2024-09-09 15:00:00+00:00,402.355,404.47,402.185,404.47,49929,869,403.301794
2024-09-09 16:00:00+00:00,404.625,405.945,404.46,404.935,26564,574,405.211848
2024-09-09 17:00:00+00:00,404.95,405.445,404.0,404.0,28401,577,404.947687
2024-09-09 18:00:00+00:00,404.1,404.1,403.035,403.395,23767,501,403.442053
2024-09-09 19:00:00+00:00,403.45,405.84,402.92,405.71,92464,1647,404.604834
2024-09-10 13:00:00+00:00,408.44,415.3,407.705,414.33,58019,863,412.736695
2024-09-10 14:00:00+00:00,414.46,416.15,412.395,412.635,57053,1055,414.51243
2024-09-10 15:00:00+00:00,412.585,414.035,409.85,409.85,23322,461,412.252134
2024-09-10 16:00:00+00:00,409.44,411.245,408.96,410.84,19351,440,409.966374
2024-09-10 17:00:00+00:00,410.6,412.535,410.445,412.0,20406,459,411.964098
2024-09-10 18:00:00+00:00,412.04,412.76,411.86,412.18,26507,555,412.404783
2024-09-10 19:00:00+00:00,412.2,414.71,411.93,414.15,124875,1986,413.193921
2024-09-11 13:00:00+00:00,414.85,417.0,414.29,415.27,69210,1106,415.497638
2024-09-11 14:00:00+00:00,415.32,415.32,409.79,410.41,86731,1479,411.939356
2024-09-11 15:00:00+00:00,410.13,413.91,409.67,413.765,50672,842,412.019857
2024-09-11 16:00:00+00:00,413.84,416.49,413.71,415.975,41063,736,415.429664
2024-09-11 17:00:00+00:00,416.08,419.41,415.9,418.23,77258,1061,417.384385
2024-09-11 18:00:00+00:00,418.48,421.01,418.17,420.59,79709,1145,419.798613
2024-09-11 19:00:00+00:00,420.53,423.945,420.25,422.73,150942,2785,421.927603
2024-09-12 13:00:00+00:00,423.31,423.93,420.24,420.99,65528,1051,421.691331
2024-09-12 14:00:00+00:00,421.11,422.955,420.025,420.17,63867,1199,421.429287
2024-09-12 15:00:00+00:00,420.105,421.75,419.815,419.945,36463,639,420.586198
2024-09-12 16:00:00+00:00,420.005,422.96,419.81,422.78,30414,513,421.034432
2024-09-12 17:00:00+00:00,422.79,425.95,422.54,425.84,31876,644,424.382105
2024-09-12 18:00:00+00:00,425.97,427.225,424.34,426.38,49689,953,426.316219
2024-09-12 19:00:00+00:00,426.31,427.0,425.445,427.0,86406,1513,426.360284
2024-09-13 13:00:00+00:00,425.825,428.71,425.57,426.9,26737,603,427.154079
2024-09-13 14:00:00+00:00,426.95,428.92,426.435,428.365,50200,890,427.953122
2024-09-13 15:00:00+00:00,428.6,429.155,428.25,429.06,61451,762,428.82848
2024-09-13 16:00:00+00:00,429.03,430.29,428.11,430.29,47987,847,428.958394
2024-09-13 17:00:00+00:00,430.28,431.795,430.23,431.21,52541,896,430.967427
2024-09-13 18:00:00+00:00,431.23,431.43,429.825,430.28,41608,815,430.574219
2024-09-13 19:00:00+00:00,430.265,431.2,429.985,430.61,113141,1656,430.839926
2024-09-16 13:00:00+00:00,430.59,433.48,428.42,432.08,60589,761,431.687641
2024-09-16 14:00:00+00:00,432.04,432.625,429.475,429.655,66421,1132,430.728519
2024-09-16 15:00:00+00:00,429.765,431.86,428.95,429.98,65551,1192,430.164154
2024-09-16 16:00:00+00:00,430.07,430.11,428.84,429.81,70729,1520,429.540739
2024-09-16 17:00:00+00:00,429.74,431.66,429.42,431.63,39797,652,430.276984
2024-09-16 18:00:00+00:00,431.54,431.64,430.085,430.75,25513,507,430.922047
