Gmt time,Open,High,Low,Close,Volume,trade_count,vwap
2022-12-19 05:00:00+00:00,6.8,6.8,6.325,6.34,876273,3552,6.4608
2022-12-20 05:00:00+00:00,6.28,6.54,6.2,6.305,667804,3198,6.335547
2022-12-21 05:00:00+00:00,6.24,6.515,6.045,6.505,480730,2812,6.382178
2022-12-22 05:00:00+00:00,6.365,6.375,6.18,6.315,490479,2526,6.260291
2022-12-23 05:00:00+00:00,6.265,6.29,6.07,6.27,279059,1826,6.203736
2022-12-27 05:00:00+00:00,6.14,6.22,5.925,5.995,435096,2241,6.054046
2022-12-28 05:00:00+00:00,5.975,6.17,5.95,6.07,439292,1769,6.047155
2022-12-29 05:00:00+00:00,6.14,6.52,6.105,6.39,910178,3969,6.413231
2022-12-30 05:00:00+00:00,6.255,6.42,6.235,6.405,441414,2327,6.321226
2023-01-03 05:00:00+00:00,6.565,6.64,6.275,6.4,521414,2576,6.38118
2023-01-04 05:00:00+00:00,6.47,6.67,6.37,6.59,702462,3047,6.553926
2023-01-05 05:00:00+00:00,6.48,6.48,6.25,6.32,518419,2294,6.348889
2023-01-06 05:00:00+00:00,6.34,6.445,6.095,6.405,440709,2688,6.324769
2023-01-09 05:00:00+00:00,6.485,6.665,6.41,6.505,795523,3247,6.567343
2023-01-10 05:00:00+00:00,6.5,6.71,6.49,6.69,579142,2904,6.606809
2023-01-11 05:00:00+00:00,6.85,6.99,6.76,6.975,454435,3192,6.93253
2023-01-12 05:00:00+00:00,7.01,7.05,6.78,7.015,773784,2798,6.942129
2023-01-13 05:00:00+00:00,6.82,7.01,6.82,6.95,266511,1822,6.937698
2023-01-17 05:00:00+00:00,6.985,7.145,6.735,7.075,1146919,4090,6.967582
2023-01-18 05:00:00+00:00,7.19,7.295,6.88,6.91,310481,2066,7.037496
2023-01-19 05:00:00+00:00,6.805,6.895,6.67,6.73,520667,2661,6.750267
2023-01-20 05:00:00+00:00,6.79,7.055,6.73,7.02,834543,4499,6.92509
2023-01-23 05:00:00+00:00,7.035,7.405,7.01,7.385,605761,2969,7.305556
2023-01-24 05:00:00+00:00,6.13,7.37,6.13,7.015,516868,3215,7.126632
